,Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
4842,42885,Middle East,17-Feb-16,2016,Feb,1.0,,1,,1.0,,,Violence,"Syrian/Turkish border near Qamishli, Al Hasaka, Syria",Action Group for Palestinians of Syria,"36.504474100000, 40.708528000000",,http://www.actionpal.org.uk/,Western Asia,4
4843,42886,Middle East,17-Feb-16,2016,Feb,1.0,,1,,1.0,,,Extended Sickness,"Syrian/Turkish border near Qamishli, Al Hasaka, Syria",Action Group for Palestinians of Syria,"36.504474100000, 40.708528000000",,http://www.actionpal.org.uk/,Western Asia,4
4844,42887,Middle East,17-Feb-16,2016,Feb,1.0,,1,,,1.0,,Extended Sickness,"Syrian/Turkish border near Qamishli, Al Hasaka, Syria",Action Group for Palestinians of Syria,"36.504474100000, 40.708528000000",,http://www.actionpal.org.uk/,Western Asia,4
4845,43090,Africa,17-Feb-16,2016,Feb,1.0,,1,,,,,Extended Sickness,"Las'anod, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),"8.476128000000, 47.347479800000",,,Eastern Africa,2
4846,43091,Africa,17-Feb-16,2016,Feb,1.0,,1,,,,,Extended Sickness,"Gondor, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4Mi),"12.601127000000, 37.438938500000",,,Eastern Africa,2
4847,43092,Africa,17-Feb-16,2016,Feb,1.0,,1,,,,,Vehicle Accident,"Jigjiga, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4Mi),"9.352104400000, 42.777371200000",,,Eastern Africa,2
4848,43093,Africa,17-Feb-16,2016,Feb,3.0,,3,,,,,Extended Sickness,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"27.029507800000, 14.389083500000",,,Northern Africa,2
4849,43094,Africa,17-Feb-16,2016,Feb,2.0,,2,,,,,Extended Sickness,"Qalabat, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"13.973173700000, 35.343169100000",,,Northern Africa,2
4850,43095,Africa,17-Feb-16,2016,Feb,1.0,,1,,,,,Extended Sickness,"Tarhunah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"32.434459100000, 13.606436400000",,,Northern Africa,2
4851,43096,Africa,17-Feb-16,2016,Feb,3.0,,3,,,,,Extended Sickness,"Qalabat, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"13.973173700000, 35.343169100000",,,Northern Africa,2
4852,43097,Africa,17-Feb-16,2016,Feb,6.0,,6,,,,,Extended Sickness,"Ajdabiya, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"30.272374300000, 19.074105200000",,,Northern Africa,2
4853,43098,Africa,17-Feb-16,2016,Feb,5.0,,5,,,,,Extended Sickness,"Kurfrah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.248841300000, 19.724216100000",,,Northern Africa,2
4854,42499,Mediterranean,16-Feb-16,2016,Feb,1.0,,1,,,1.0,,Unknown,"Found dead in a boat in Algeciras, Cádiz, Spain, that had crossed the Strait of Gibraltar",Spanish Ministry of the Interior via IOM Spain,"35.944418700000, -5.794608800000",Western Mediterranean,http://bit.ly/1UyM35b,Uncategorized,5
4855,43089,Africa,16-Feb-16,2016,Feb,2.0,,2,,,,,Extended Sickness,"Sahara Desert, near Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"21.906769500000, 30.822252900000",,,Northern Africa,2
4856,42555,Middle East,15-Feb-16,2016,Feb,1.0,,1,,,1.0,,Extended Sickness,Syrian/Turkish border near Aleppo province,Syrian Observatory for Human Rights,"36.681792000000, 36.623154000000",,http://bit.ly/28Nnkxe,Western Asia,4
4857,42585,Central America,15-Feb-16,2016,Feb,1.0,,1,11.0,,,,Vehicle Accident,"On highway 150, between Tecamachalco and Tlacotepec de Benito Juarez, Puebla, Mexico",Imagen Poblana,"18.675135100000, -97.644249400000",Central America to US,http://bit.ly/28RtAFO,Central America,1
4858,42536,Central America,14-Feb-16,2016,Feb,1.0,,1,,,1.0,,Vehicle Accident,"train tracks near Cosoleacaque, Mexico",Central Noticias,"17.999023800000, -94.646071300000",Central America to US,http://bit.ly/26ge4HV,Central America,1
4859,42543,Central America,14-Feb-16,2016,Feb,1.0,,1,,,1.0,,Vehicle Accident,"Train tracks in Minatitlan, Mexico",Impacto Del Sur,"18.013069200000, -94.539433900000",Central America to US,http://bit.ly/28KedEy,Central America,1
